model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.01,0.06,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.03,0.64,10.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.05,0.88,8.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.07,0.9,6.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.09,0.98,5.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.1,0.88,5.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,0.5,0.02,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,real,,atp,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.01,0.08,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.03,0.54,2.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.05,0.64,2.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.07,0.22,2.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.09,0.04,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.1,0.92,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,uniform,0.0,random-s0,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.06,10.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.72,10.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.98,10.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.96,8.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.96,5.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.98,5.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.01,0.24,10.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.03,0.56,8.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.05,0.56,6.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.07,0.58,6.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.09,0.6,5.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.1,0.62,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,real,,atp,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.01,0.26,8.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.03,0.24,2.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.05,0.2,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.07,0.22,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.09,0.22,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.1,0.4,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,uniform,0.0,random-s0,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.24,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.36,8.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.3,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.34,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.46,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.3,4.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-long_to_prose,long-form,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.01,0.08,2.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.03,0.08,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.05,0.48,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.07,0.84,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.09,0.88,8.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.1,0.78,8.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,real,,atp,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.01,0.08,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.03,0.56,2.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.05,0.68,2.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.07,0.16,2.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.09,0.02,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.1,0.9,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,uniform,0.0,random-s0,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.06,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.08,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.38,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.86,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.7,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.68,10.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.0,1.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.01,0.26,5.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.03,0.28,2.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.05,0.32,8.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.07,0.36,5.0
Qwen1.5-32B-Chat,verse,from_verse-single_to_prose,single-token,single,wo_rf,real,,atp,0.09,0.42,4.0
