MODEL_ID,SOURCE,BASE,METHOD,EVAL_SUB_DIR,STEER_SUB_DIR,N,REPS,STEERING_METHOD,topk,data_path_query,_row_idx,jp_rating,fluency_rating,relevance_rating,jp_pass
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Baron in the Trees,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Smilla's Sense of Snow,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Dream of the Red Chamber,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Train to Pakistan,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Interpreter of Maladies,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Museum of Innocence,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Thin Man,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Divergent,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Children of Blood and Bone,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of A Court of Thorns and Roses,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Eleanor Oliphant Is Completely Fine,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of A Tree Grows in Brooklyn,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Zorba the Greek,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Nightingale,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Life After Life,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of World Without End,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of James and the Giant Peach,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of A Desolation Called Peace,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Year of the Flood,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Memory Police,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Erewhon,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Fatelessness,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Good Soldier Švejk,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Discovery of Heaven,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Women in Love,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,"Please give a one sentence summary of Winesburg, Ohio",0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The First Man,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Time Regained,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Revolutionary Road,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,"Please give a one sentence summary of Rabbit, Run",0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Amazing Adventures of Kavalier & Clay,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Housekeeping,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Embassytown,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,"Please give a one sentence summary of Farewell, My Lovely",0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of The Man in the Iron Mask,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Carrie,0,1,0,0,False
Qwen1.5-14B-Chat,paragraph-single,sentence,atp,paragraph-long_eval,paragraph-single_steer,8,targeted,steer,1.0,Please give a one sentence summary of Killing Commendatore,0,1,0,0,False
