model,family,task,localization,eval_mode,metric,arm,seed,method,topk,accuracy,best_steering_factor
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.01,0.3,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.03,0.5,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.05,0.94,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.07,0.94,8.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.09,0.88,8.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.1,0.86,8.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,0.5,0.18,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,real,,atp,1.0,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.01,0.06,5.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.03,0.04,4.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.05,0.04,2.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.07,0.02,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.09,0.04,2.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.1,0.38,2.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,0.5,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,uniform,0.0,random-s0,1.0,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.01,0.06,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.03,0.14,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.05,0.32,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.07,0.54,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.09,0.32,8.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.1,0.62,8.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,0.5,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,long,w_rf,layer-matched,0.0,randomlayer-s0,1.0,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.01,0.22,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.03,0.84,10.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.05,0.92,5.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.07,0.88,4.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.09,0.86,4.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.1,0.8,4.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,0.5,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,real,,atp,1.0,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.01,0.76,8.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.03,0.42,2.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.05,0.4,2.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.07,0.78,2.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.09,0.48,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.1,0.48,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,0.5,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,uniform,0.0,random-s0,1.0,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.01,0.26,5.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.03,0.26,6.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.05,0.42,4.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.07,0.34,5.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.09,0.56,4.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.1,0.58,4.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,0.5,0.0,1.0
Qwen1.5-14B-Chat,paragraph,from_paragraph-single_to_sentence,single-token,single,wo_rf,layer-matched,0.0,randomlayer-s0,1.0,0.0,1.0
